player_id,player_name,team_abbr,def_fg_pct,def_fga,player_position,season
1641763,Julian Phillips,CHI,0.504,121,F,2023-24
1630649,Stanley Umude,DET,0.512,121,G,2023-24
1629004,Svi Mykhailiuk,BOS,0.356,118,G-F,2023-24
202709,Cory Joseph,GSW,0.483,116,G,2023-24
1641716,Jarace Walker,IND,0.522,115,F,2023-24
1631288,Jamal Cain,MIA,0.425,113,F,2023-24
1641931,Onuralp Bitim,CHI,0.45,111,F,2023-24
1641778,Leaky Black,CHA,0.445,110,F,2023-24
1630639,A.J. Lawson,DAL,0.523,107,G,2023-24
1630551,Justin Champagnie,WAS,0.486,107,G-F,2023-24
1630611,Gui Santos,GSW,0.523,107,F,2023-24
1631221,Collin Gillespie,DEN,0.422,102,G,2023-24
1641741,Ricky Council IV,PHI,0.545,101,G,2023-24
202693,Markieff Morris,DAL,0.51,98,F,2023-24
1630695,Micah Potter,UTA,0.485,97,C,2023-24
1628984,Devonte' Graham,SAS,0.438,96,G,2023-24
1629646,Charles Bassey,SAS,0.5,96,C-F,2023-24
1631338,Mouhamadou Gueye,TOR,0.453,95,F,2023-24
1630204,Ashton Hagans,POR,0.398,93,G-F,2023-24
1641723,Kobe Bufkin,ATL,0.551,89,G,2023-24
201959,Taj Gibson,DET,0.443,88,F,2023-24
1630678,Terry Taylor,CHI,0.398,88,F,2023-24
1631254,Kenneth Lofton Jr.,UTA,0.46,87,F,2023-24
1641774,Tristan Vukcevic,WAS,0.407,86,F,2023-24
1631197,Jared Rhoden,DET,0.442,86,G,2023-24
1630184,Kira Lewis Jr.,UTA,0.442,86,G,2023-24
1630177,Theo Maledon,PHX,0.442,86,G,2023-24
1629669,Jaylen Nowell,SAC,0.39,82,G,2023-24
1629216,Gabe Vincent,LAL,0.427,82,G,2023-24
1630243,Trevelin Queen,ORL,0.338,77,G,2023-24
1629647,Darius Bazley,UTA,0.506,77,F,2023-24
1629057,Robert Williams III,POR,0.446,74,C-F,2023-24
1627788,Furkan Korkmaz,PHI,0.507,73,G-F,2023-24
1628962,Udoka Azubuike,PHX,0.408,71,C-F,2023-24
1629750,Javonte Green,CHI,0.5,68,G,2023-24
1630240,Saben Lee,PHX,0.471,68,G,2023-24
1631100,AJ Griffin,ATL,0.478,67,F,2023-24
1629716,Marques Bolden,CHA,0.515,66,C,2023-24
203648,Thanasis Antetokounmpo,MIL,0.313,64,F,2023-24
1630314,Brandon Williams,DAL,0.54,63,G,2023-24
1630562,Matt Hurt,MEM,0.476,63,F,2023-24
1630568,Luka Garza,MIN,0.508,61,C,2023-24
1630285,Zavier Simpson,DET,0.443,61,G,2023-24
203490,Otto Porter Jr.,TOR,0.377,61,F,2023-24
1631262,Jules Bernard,WAS,0.542,59,G,2023-24
1629875,Xavier Moon,LAC,0.517,58,G,2023-24
1641732,Colby Jones,SAC,0.466,58,G,2023-24
