game_id,season,season_type,date_utc,home_team_id,away_team_id,final_score_home,final_score_away,status,source
0022500232,2025-26,Regular Season,2025-11-16T01:00:00Z,1610612750,1610612743,112,123,FINAL,cdn
0022500233,2025-26,Regular Season,2025-11-16T20:30:00Z,1610612738,1610612746,121,118,FINAL,cdn
0022500234,2025-26,Regular Season,2025-11-16T21:00:00Z,1610612759,1610612758,123,110,FINAL,cdn
0022500235,2025-26,Regular Season,2025-11-16T23:00:00Z,1610612764,1610612751,106,129,FINAL,cdn
0022500236,2025-26,Regular Season,2025-11-17T00:00:00Z,1610612745,1610612753,117,113,FINAL,cdn
0022500237,2025-26,Regular Season,2025-11-17T00:00:00Z,1610612740,1610612744,106,124,FINAL,cdn
0022500238,2025-26,Regular Season,2025-11-17T00:30:00Z,1610612742,1610612757,138,133,FINAL,cdn
0022500239,2025-26,Regular Season,2025-11-17T01:00:00Z,1610612756,1610612737,122,124,FINAL,cdn
0022500240,2025-26,Regular Season,2025-11-17T01:00:00Z,1610612762,1610612741,150,147,FINAL,cdn
0022500241,2025-26,Regular Season,2025-11-18T00:00:00Z,1610612739,1610612749,118,106,FINAL,cdn
0022500242,2025-26,Regular Season,2025-11-18T00:00:00Z,1610612765,1610612754,127,112,FINAL,cdn
0022500243,2025-26,Regular Season,2025-11-18T00:00:00Z,1610612755,1610612746,110,108,FINAL,cdn
0022500244,2025-26,Regular Season,2025-11-18T00:30:00Z,1610612748,1610612752,115,113,FINAL,cdn
0022500245,2025-26,Regular Season,2025-11-18T00:30:00Z,1610612761,1610612766,110,108,FINAL,cdn
0022500246,2025-26,Regular Season,2025-11-18T01:00:00Z,1610612750,1610612742,120,96,FINAL,cdn
0022500247,2025-26,Regular Season,2025-11-18T01:00:00Z,1610612740,1610612760,109,126,FINAL,cdn
0022500248,2025-26,Regular Season,2025-11-18T02:00:00Z,1610612743,1610612741,127,130,FINAL,cdn
0022500249,2025-26,Regular Season,2025-11-19T00:00:00Z,1610612753,1610612744,121,113,FINAL,cdn
0022500250,2025-26,Regular Season,2025-11-19T00:30:00Z,1610612751,1610612738,99,113,FINAL,cdn
0022500251,2025-26,Regular Season,2025-11-19T00:30:00Z,1610612737,1610612765,112,120,FINAL,cdn
0022500252,2025-26,Regular Season,2025-11-19T01:00:00Z,1610612759,1610612763,111,101,FINAL,cdn
0022500253,2025-26,Regular Season,2025-11-19T03:30:00Z,1610612747,1610612762,140,126,FINAL,cdn
0022500254,2025-26,Regular Season,2025-11-19T04:00:00Z,1610612757,1610612756,110,127,FINAL,cdn
0022500255,2025-26,Regular Season,2025-11-20T00:00:00Z,1610612739,1610612745,104,114,FINAL,cdn
0022500256,2025-26,Regular Season,2025-11-20T00:00:00Z,1610612754,1610612766,127,118,FINAL,cdn
0022500257,2025-26,Regular Season,2025-11-20T00:30:00Z,1610612748,1610612744,110,96,FINAL,cdn
0022500258,2025-26,Regular Season,2025-11-20T00:00:00Z,1610612755,1610612761,112,121,FINAL,cdn
0022500259,2025-26,Regular Season,2025-11-20T01:00:00Z,1610612750,1610612764,120,109,FINAL,cdn
0022500260,2025-26,Regular Season,2025-11-20T01:00:00Z,1610612740,1610612743,118,125,FINAL,cdn
0022500261,2025-26,Regular Season,2025-11-20T01:00:00Z,1610612760,1610612758,113,99,FINAL,cdn
0022500262,2025-26,Regular Season,2025-11-20T02:30:00Z,1610612742,1610612752,111,113,FINAL,cdn
0022500263,2025-26,Regular Season,2025-11-20T03:00:00Z,1610612757,1610612741,121,122,FINAL,cdn
0022500264,2025-26,Regular Season,2025-11-21T00:00:00Z,1610612753,1610612746,129,101,FINAL,cdn
0022500265,2025-26,Regular Season,2025-11-21T01:00:00Z,1610612763,1610612758,137,96,FINAL,cdn
0022500266,2025-26,Regular Season,2025-11-21T01:00:00Z,1610612749,1610612755,114,123,FINAL,cdn
0022500267,2025-26,Regular Season,2025-11-21T01:00:00Z,1610612759,1610612737,135,126,FINAL,cdn
0022500268,2025-26,Regular Season,2025-11-22T18:00:00Z,1610612766,1610612746,116,131,FINAL,cdn
0022500269,2025-26,Regular Season,2025-11-22T22:00:00Z,1610612753,1610612752,133,121,FINAL,cdn
0022500270,2025-26,Regular Season,2025-11-23T00:00:00Z,1610612740,1610612737,98,115,FINAL,cdn
0022500271,2025-26,Regular Season,2025-11-23T01:00:00Z,1610612741,1610612764,121,120,FINAL,cdn
0022500272,2025-26,Regular Season,2025-11-23T01:00:00Z,1610612749,1610612765,116,129,FINAL,cdn
0022500273,2025-26,Regular Season,2025-11-23T01:30:00Z,1610612742,1610612763,96,102,FINAL,cdn
0022500274,2025-26,Regular Season,2025-11-23T03:00:00Z,1610612743,1610612758,123,128,FINAL,cdn
0022500275,2025-26,Regular Season,2025-11-23T18:00:00Z,1610612755,1610612748,117,127,FINAL,cdn
0022500276,2025-26,Regular Season,2025-11-23T23:00:00Z,1610612737,1610612766,113,110,FINAL,cdn
0022500277,2025-26,Regular Season,2025-11-23T23:00:00Z,1610612738,1610612753,138,129,FINAL,cdn
0022500278,2025-26,Regular Season,2025-11-23T23:00:00Z,1610612739,1610612746,120,105,FINAL,cdn
0022500279,2025-26,Regular Season,2025-11-23T23:00:00Z,1610612761,1610612751,119,109,FINAL,cdn
0022500280,2025-26,Regular Season,2025-11-24T00:00:00Z,1610612760,1610612757,122,95,FINAL,cdn
0022500281,2025-26,Regular Season,2025-11-24T01:00:00Z,1610612756,1610612759,111,102,FINAL,cdn
0022500282,2025-26,Regular Season,2025-11-24T01:00:00Z,1610612762,1610612747,106,108,FINAL,cdn
0022500283,2025-26,Regular Season,2025-11-25T00:00:00Z,1610612754,1610612765,117,122,FINAL,cdn
0022500284,2025-26,Regular Season,2025-11-25T00:00:00Z,1610612761,1610612739,110,99,FINAL,cdn
0022500285,2025-26,Regular Season,2025-11-25T00:30:00Z,1610612751,1610612752,100,113,FINAL,cdn
0022500286,2025-26,Regular Season,2025-11-25T00:30:00Z,1610612748,1610612742,106,102,FINAL,cdn
0022500287,2025-26,Regular Season,2025-11-25T01:00:00Z,1610612763,1610612743,115,125,FINAL,cdn
0022500288,2025-26,Regular Season,2025-11-25T01:00:00Z,1610612749,1610612757,103,115,FINAL,cdn
0022500289,2025-26,Regular Season,2025-11-25T01:00:00Z,1610612740,1610612741,143,130,FINAL,cdn
0022500290,2025-26,Regular Season,2025-11-25T02:30:00Z,1610612756,1610612745,92,114,FINAL,cdn
0022500291,2025-26,Regular Season,2025-11-25T03:00:00Z,1610612744,1610612762,134,117,FINAL,cdn
0022500292,2025-26,Regular Season,2025-11-25T03:00:00Z,1610612758,1610612750,117,112,FINAL,cdn
0022500293,2025-26,Regular Season,2025-11-29T22:00:00Z,1610612750,1610612738,119,115,FINAL,cdn
0022500294,2025-26,Regular Season,2025-11-29T23:00:00Z,1610612766,1610612761,118,111,FINAL,cdn
