game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source
0022500513,2025-26,Regular Season,1610612748,MIA,240.0,94,59,28,5,4,17,98,35,37,12,16,12,0,cdn
0022500514,2025-26,Regular Season,1610612740,NOP,240.0,103,52,28,8,2,15,91,40,40,10,18,13,0,cdn
0022500514,2025-26,Regular Season,1610612747,LAL,240.0,111,54,30,11,6,14,85,43,31,11,21,14,0,cdn
0022500515,2025-26,Regular Season,1610612758,SAC,240.0,98,55,23,11,6,12,92,39,31,9,17,11,0,cdn
0022500515,2025-26,Regular Season,1610612742,DAL,240.0,100,68,19,6,3,16,96,39,27,8,21,14,0,cdn
0022500516,2025-26,Regular Season,1610612766,CHA,240.0,96,63,19,3,6,18,82,32,38,14,22,18,0,cdn
0022500516,2025-26,Regular Season,1610612761,TOR,240.0,97,50,18,6,4,5,92,38,34,7,19,14,0,cdn
0022500517,2025-26,Regular Season,1610612765,DET,240.0,108,50,35,10,8,8,92,45,33,12,8,6,0,cdn
0022500517,2025-26,Regular Season,1610612741,CHI,240.0,93,52,27,5,8,17,87,37,34,13,9,6,0,cdn
0022500518,2025-26,Regular Season,1610612755,PHI,240.0,131,42,30,15,5,10,84,45,37,14,32,27,0,cdn
0022500518,2025-26,Regular Season,1610612764,WAS,240.0,110,47,29,7,6,22,87,43,33,13,11,11,0,cdn
0022500519,2025-26,Regular Season,1610612737,ATL,240.0,117,66,30,13,10,19,95,44,47,18,17,11,0,cdn
0022500519,2025-26,Regular Season,1610612740,NOP,240.0,100,49,26,13,9,19,86,38,28,8,25,16,0,cdn
0022500520,2025-26,Regular Season,1610612738,BOS,240.0,110,61,16,6,6,14,95,43,38,15,15,9,0,cdn
0022500520,2025-26,Regular Season,1610612743,DEN,240.0,114,53,27,7,8,7,87,39,44,20,24,16,0,cdn
0022500521,2025-26,Regular Season,1610612751,BKN,265.0,103,59,23,11,8,19,86,36,51,17,22,14,0,cdn
0022500521,2025-26,Regular Season,1610612753,ORL,265.0,104,60,28,12,4,18,96,41,33,9,18,13,0,cdn
0022500522,2025-26,Regular Season,1610612752,NYK,240.0,123,59,31,5,6,10,94,47,33,14,17,15,0,cdn
0022500522,2025-26,Regular Season,1610612746,LAC,240.0,111,47,21,7,5,10,92,40,42,15,19,16,0,cdn
0022500523,2025-26,Regular Season,1610612759,SAS,240.0,107,52,24,10,5,14,82,40,25,4,28,23,0,cdn
0022500523,2025-26,Regular Season,1610612747,LAL,240.0,91,56,16,9,2,17,86,34,39,9,22,14,0,cdn
0022500524,2025-26,Regular Season,1610612763,MEM,240.0,98,56,23,9,2,18,92,39,37,12,14,8,0,cdn
0022500524,2025-26,Regular Season,1610612756,PHX,240.0,117,58,31,11,5,16,97,45,56,22,8,5,0,cdn
0022500525,2025-26,Regular Season,1610612760,OKC,265.0,129,56,26,14,11,11,101,44,38,7,42,34,0,cdn
